,1. open,2. high,3. low,4. close,5. volume,ticker
2025-12-16,1555.95,1557.95,1539.4,1541.8,289296.0,RELIANCE.BSE
2025-12-12,1533.05,1559.5,1520.35,1556.0,4920412.0,RELIANCE.BSE
2025-12-05,1575.0,1579.95,1518.0,1540.9,2433720.0,RELIANCE.BSE
2025-11-28,1548.1,1580.9,1525.0,1566.85,2544012.0,RELIANCE.BSE
2025-11-21,1518.85,1557.95,1510.05,1545.95,3047748.0,RELIANCE.BSE
2025-11-14,1473.15,1524.0,1473.15,1518.85,2896809.0,RELIANCE.BSE
2025-11-07,1486.0,1501.95,1470.3,1478.25,2371094.0,RELIANCE.BSE
2025-10-31,1461.25,1508.0,1458.7,1486.5,3525813.0,RELIANCE.BSE
2025-10-24,1440.0,1482.5,1435.0,1451.45,3461712.0,RELIANCE.BSE
2025-10-17,1376.0,1423.45,1367.85,1416.95,3887283.0,RELIANCE.BSE
2025-10-10,1362.2,1395.75,1358.6,1381.95,3605918.0,RELIANCE.BSE
2025-10-03,1380.1,1388.4,1357.2,1363.45,3828808.0,RELIANCE.BSE
2025-09-26,1402.7,1410.45,1365.55,1377.75,3595118.0,RELIANCE.BSE
2025-09-19,1395.0,1421.8,1388.35,1407.65,2748980.0,RELIANCE.BSE
2025-09-12,1384.0,1396.1,1369.0,1394.8,2354560.0,RELIANCE.BSE
2025-09-05,1357.85,1384.65,1341.7,1374.3,2299115.0,RELIANCE.BSE
2025-08-29,1413.05,1419.0,1350.3,1357.05,3756798.0,RELIANCE.BSE
2025-08-22,1388.3,1431.8,1377.15,1409.3,3758936.0,RELIANCE.BSE
2025-08-14,1370.0,1401.25,1361.2,1373.75,2353977.0,RELIANCE.BSE
2025-08-08,1406.85,1416.0,1365.5,1367.95,2845653.0,RELIANCE.BSE
2025-08-01,1392.1,1423.25,1383.5,1393.6,2828130.0,RELIANCE.BSE
2025-07-25,1474.95,1474.95,1384.5,1392.1,4260654.0,RELIANCE.BSE
2025-07-18,1494.45,1499.95,1469.0,1476.85,3588319.0,RELIANCE.BSE
2025-07-11,1525.25,1551.0,1490.1,1494.85,3205140.0,RELIANCE.BSE
2025-07-04,1516.05,1531.7,1496.4,1527.4,4223471.0,RELIANCE.BSE
2025-06-27,1442.7,1521.7,1442.0,1516.05,4804887.0,RELIANCE.BSE
2025-06-20,1425.05,1470.0,1425.0,1464.65,4896016.0,RELIANCE.BSE
2025-06-13,1454.55,1468.0,1414.0,1427.65,2186373.0,RELIANCE.BSE
2025-06-06,1415.95,1454.5,1395.9,1443.55,3997916.0,RELIANCE.BSE
2025-05-30,1430.4,1441.2,1408.95,1420.8,2431651.0,RELIANCE.BSE
2025-05-23,1454.3,1454.3,1397.4,1426.45,2503629.0,RELIANCE.BSE
2025-05-16,1400.0,1461.0,1400.0,1456.6,2923576.0,RELIANCE.BSE
2025-05-09,1427.0,1439.75,1372.05,1377.75,1964695.0,RELIANCE.BSE
2025-05-02,1332.35,1426.0,1320.15,1421.95,14806779.0,RELIANCE.BSE
2025-04-25,1271.55,1325.25,1266.75,1300.05,3734845.0,RELIANCE.BSE
2025-04-17,1256.0,1279.45,1227.4,1274.55,1473064.0,RELIANCE.BSE
2025-04-11,1125.0,1222.45,1115.55,1219.3,3508830.0,RELIANCE.BSE
2025-04-04,1274.6,1277.8,1192.85,1204.7,2282892.0,RELIANCE.BSE
2025-03-28,1286.4,1307.0,1269.0,1275.0,3651735.0,RELIANCE.BSE
